Subscription Name,Subscription ID,Account Used,Role,Capability,Reason
Dev - D06,aa89a992-d05f-4885-baa0-eb7b605946a3,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/aa89a992-d05f-4885-baa0-eb7b605946a3/resourceGroups/D06AOPS01ADS01BLKBRG/providers/Microsoft.Network/networkInterfaces/D06AOPS01ADS01BLKBNIC0' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/aa89a992-d05f-4885-baa0-eb7b605946a3/resourceGroups/D06AOPS01ADS01BLKBRG/providers/Microsoft.Network/networkInterfaces/D06AOPS01ADS01BLKBNIC0' or the scope is invalid. If access was recently granted, please refresh your credentials."
Dev - D07,cc085d57-0f75-4941-9818-b3bf86d50b29,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/cc085d57-0f75-4941-9818-b3bf86d50b29/resourceGroups/D07ABGF01JBV01BLKBRG/providers/Microsoft.Network/networkInterfaces/D07ABGF01JBV01BLKBNIC0' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/cc085d57-0f75-4941-9818-b3bf86d50b29/resourceGroups/D07ABGF01JBV01BLKBRG/providers/Microsoft.Network/networkInterfaces/D07ABGF01JBV01BLKBNIC0' or the scope is invalid. If access was recently granted, please refresh your credentials."
Dev - D40,38dc1973-b3ec-4db8-8f42-f76fc59e65b0,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/38dc1973-b3ec-4db8-8f42-f76fc59e65b0/resourceGroups/D40ABLKBRG/providers/Microsoft.Network/networkInterfaces/D40ACSR01ASPCSRAPI01BLKBPE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/38dc1973-b3ec-4db8-8f42-f76fc59e65b0/resourceGroups/D40ABLKBRG/providers/Microsoft.Network/networkInterfaces/D40ACSR01ASPCSRAPI01BLKBPE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
Dev - D60,e7d2a634-26a5-4454-be83-448cee9e5636,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/e7d2a634-26a5-4454-be83-448cee9e5636/resourceGroups/D60ALOC01CNS01RG/providers/Microsoft.Network/networkInterfaces/D60ALOC01CNS01NIC01B' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/e7d2a634-26a5-4454-be83-448cee9e5636/resourceGroups/D60ALOC01CNS01RG/providers/Microsoft.Network/networkInterfaces/D60ALOC01CNS01NIC01B' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-d-usa01,4ea3d908-134c-4c53-a466-507ef4ea4c4b,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/4ea3d908-134c-4c53-a466-507ef4ea4c4b/resourceGroups/DPDUSA01DEVEASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPDUSA01-DEVEASTUS2-AADBBLKB-PE-01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/4ea3d908-134c-4c53-a466-507ef4ea4c4b/resourceGroups/DPDUSA01DEVEASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPDUSA01-DEVEASTUS2-AADBBLKB-PE-01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-p-aus01,9015a79f-c20b-45db-b3df-8fef8ca0332f,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/9015a79f-c20b-45db-b3df-8fef8ca0332f/resourceGroups/DPPAUS01INTERACTIVE-AUSTRALIAEASTAADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPPAUS01INTERACTIVE-AUSTRALIAEAST-PE-01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/9015a79f-c20b-45db-b3df-8fef8ca0332f/resourceGroups/DPPAUS01INTERACTIVE-AUSTRALIAEASTAADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPPAUS01INTERACTIVE-AUSTRALIAEAST-PE-01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-p-can01,76743f8b-8334-4537-a9ba-436c231657c9,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/76743f8b-8334-4537-a9ba-436c231657c9/resourceGroups/DPPCAN01INTERACTIVE-CANADACENTRAL-02AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/DPPCAN01-INTERACTIVE-CANADACENTRAL-02-DATABRICKS-BACKEND-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/76743f8b-8334-4537-a9ba-436c231657c9/resourceGroups/DPPCAN01INTERACTIVE-CANADACENTRAL-02AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/DPPCAN01-INTERACTIVE-CANADACENTRAL-02-DATABRICKS-BACKEND-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-p-eur01,be142778-9fae-45f2-8ad8-6f743dc828e1,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/be142778-9fae-45f2-8ad8-6f743dc828e1/resourceGroups/DPPEUR01INTERACTIVE-WESTEUROPEAADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPPEUR01-INTERACTIVE-WESTEUROPE-AADBBLKB-PE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/be142778-9fae-45f2-8ad8-6f743dc828e1/resourceGroups/DPPEUR01INTERACTIVE-WESTEUROPEAADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPPEUR01-INTERACTIVE-WESTEUROPE-AADBBLKB-PE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-p-usa01,9d034a4b-fe28-47fb-8058-017d6d5a2528,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/9d034a4b-fe28-47fb-8058-017d6d5a2528/resourceGroups/DPPUSA01CENTRALIZED-REGISTRY-EASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/DPPUSA01-CENTRALIZED-REGISTRY-EASTUS2-DATABRICKS-BACKEND-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/9d034a4b-fe28-47fb-8058-017d6d5a2528/resourceGroups/DPPUSA01CENTRALIZED-REGISTRY-EASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/DPPUSA01-CENTRALIZED-REGISTRY-EASTUS2-DATABRICKS-BACKEND-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
dp-t-usa01,d675d3ff-a488-4f43-9f38-8c7a97483f49,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/d675d3ff-a488-4f43-9f38-8c7a97483f49/resourceGroups/DPTUSA01TEST-EASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPTUSA01TEST-EASTUS2AADBPAASBLKB-PE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/d675d3ff-a488-4f43-9f38-8c7a97483f49/resourceGroups/DPTUSA01TEST-EASTUS2AADBPAASBLKBRG/providers/Microsoft.Network/networkInterfaces/BLOB-DPTUSA01TEST-EASTUS2AADBPAASBLKB-PE-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 400: (NicMustBeAttachedToRunningVmToGetEffectiveRoutes) A network interface must be attached to a running virtual machine to get effective routes. The network interface /subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BI_ResourceGroup/providers/Microsoft.Network/networkInterfaces/bbit-dataautomation-nic is not attached to a running virtual machine.
Code: NicMustBeAttachedToRunningVmToGetEffectiveRoutes
Message: A network interface must be attached to a running virtual machine to get effective routes. The network interface /subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BI_ResourceGroup/providers/Microsoft.Network/networkInterfaces/bbit-dataautomation-nic is not attached to a running virtual machine."
IT Production P02,354e16b1-a3dd-4cc2-b271-4e7429e5fa75,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CAN_READ_ROUTES,Probe call succeeded.
IT Production P03,a3a0b4d2-dce2-40ae-8793-7ebed39efeca,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 400: (NicMustBeAttachedToRunningVmToGetEffectiveRoutes) A network interface must be attached to a running virtual machine to get effective routes. The network interface /subscriptions/a3a0b4d2-dce2-40ae-8793-7ebed39efeca/resourceGroups/CDRS-ResourceGroup/providers/Microsoft.Network/networkInterfaces/cdrsflexibleserverprivateendpoint.nic.4b0f429b-1681-49bf-984a-56cc7a3a15ba is not attached to a running virtual machine.
Code: NicMustBeAttachedToRunningVmToGetEffectiveRoutes
Message: A network interface must be attached to a running virtual machine to get effective routes. The network interface /subscriptions/a3a0b4d2-dce2-40ae-8793-7ebed39efeca/resourceGroups/CDRS-ResourceGroup/providers/Microsoft.Network/networkInterfaces/cdrsflexibleserverprivateendpoint.nic.4b0f429b-1681-49bf-984a-56cc7a3a15ba is not attached to a running virtual machine."
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CAN_READ_ROUTES,Probe call succeeded.
Networking Test - E01,7253b84c-2f1a-4b10-9046-1fbdcc4334f1,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/7253b84c-2f1a-4b10-9046-1fbdcc4334f1/resourceGroups/E01-CUS-VWCC-VMSS-RG/providers/Microsoft.Network/networkInterfaces/E01-CUS-VWCC-CCVMSS-FWD-NIC-5YU7-2DBD73A1' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/7253b84c-2f1a-4b10-9046-1fbdcc4334f1/resourceGroups/E01-CUS-VWCC-VMSS-RG/providers/Microsoft.Network/networkInterfaces/E01-CUS-VWCC-CCVMSS-FWD-NIC-5YU7-2DBD73A1' or the scope is invalid. If access was recently granted, please refresh your credentials."
