Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Verdict,Peered To Hub,Hub Connection,Route Table,Default Route Next Hop Type,Default Route Next Hop IP,Offending Routes,Evidence,Notes,Evaluated By Account
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-eus2-dnsresolver-rg-1,n01-eus2-dnsresolver-vnet,n01-eus2-dnsresolver-inbound-snet,10.209.68.0/28,NOT_EVALUATED,True,n01-eus2-dnsresolver-vnet,,,,,INFERRED,"INFERRED (no NIC present): VNet peered to hub (Connected); hub connection 'n01-eus2-dnsresolver-vnet' present; delegated to Microsoft.Network/dnsResolvers - service-injected, no user NIC",Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-dpcc-rg,n01-cnc-dpcc-vnet,AzureBastionSubnet,198.18.10.64/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-zscc-rg,n01-cus-zscc-vnet,AzureFirewallManagementSubnet,10.192.73.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-vwcc-rg,n01-ae-vwcc-vnet,AzureBastionSubnet,10.193.42.0/26,EXPECTED_BYPASS,True,n01-ae-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-zscc-rg,n01-cus-zscc-vnet,AzureBastionSubnet,10.192.73.64/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-zscc-rg,n01-cus-zscc-vnet,n01-cus-zscc-cc-subnet-1,10.192.73.128/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cus-zscc-rg/providers/Microsoft.Network/routeTables/n01-cus-zscc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-vwcc-rg,n01-cnc-vwcc-vnet,AzureBastionSubnet,10.193.26.0/26,EXPECTED_BYPASS,True,n01-cnc-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-vwcc-rg,n01-cnc-vwcc-vnet,n01-cnc-vwcc-cc-subnet-1,10.193.26.64/26,NOT_EVALUATED,True,n01-cnc-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cnc-vwcc-rg/providers/Microsoft.Network/routeTables/n01-cnc-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ne-vwcc-rg,n01-ne-vwcc-vnet,n01-ne-vwcc-cc-subnet-1,10.193.66.64/26,NOT_EVALUATED,True,n01-ne-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-ne-vwcc-rg/providers/Microsoft.Network/routeTables/n01-ne-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-dpcc-rg,n01-cnc-dpcc-vnet,AzureFirewallSubnet,198.18.10.0/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-net_mgmt-rg-eus2,n01-net_mgmt-vnet-eus2,n01-net_mgmt-db-snet01,10.192.252.64/27,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-net_mgmt-rg-eus2/providers/Microsoft.Network/routeTables/n01-net_mgmt-rt-eus2,,,,INFERRED,INFERRED (no NIC present): has UDR 'n01-net_mgmt-rt-eus2',Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-vwcc-rg,n01-cus-vwcc-vnet,n01-cus-vwcc-cc-subnet-1,10.193.10.64/26,NOT_EVALUATED,True,n01-cus-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cus-vwcc-rg/providers/Microsoft.Network/routeTables/n01-cus-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-zscc-rg,n01-ae-zscc-vnet,n01-ae-zscc-cc-subnet-1,10.192.75.128/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-ae-zscc-rg/providers/Microsoft.Network/routeTables/n01-ae-zscc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-eus2-vwcc-rg,n01-eus2-vwcc-vnet,AzureBastionSubnet,10.193.2.0/26,EXPECTED_BYPASS,True,n01-eus2-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-zscc-rg,n01-ae-zscc-vnet,AzureFirewallManagementSubnet,10.192.75.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-zscc-rg,n01-ae-zscc-vnet,AzureBastionSubnet,10.192.75.64/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cne-vwcc-rg,n01-cne-vwcc-vnet,AzureBastionSubnet,10.193.58.0/26,EXPECTED_BYPASS,True,n01-cne-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-net_mgmt-rg-eus2,n01-net_mgmt-vnet-eus2,GatewaySubnet,10.192.253.224/27,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ne-vwcc-rg,n01-ne-vwcc-vnet,AzureBastionSubnet,10.193.66.0/26,EXPECTED_BYPASS,True,n01-ne-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-zscc-rg,n01-cnc-zscc-vnet,AzureBastionSubnet,10.192.74.64/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-zscc-rg,n01-ae-zscc-vnet,AzureFirewallSubnet,10.192.75.0/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-zscc-rg,n01-cus-zscc-vnet,AzureFirewallSubnet,10.192.73.0/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-net_mgmt-rg-eus2,n01-net_mgmt-vnet-eus2,n01_net_mgmt-private-ep,10.192.253.192/27,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-dpcc-rg,n01-cnc-dpcc-vnet,AzureFirewallManagementSubnet,198.18.10.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-zscc-rg,n01-cnc-zscc-vnet,AzureFirewallSubnet,10.192.74.0/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-eus2-vwcc-rg,n01-eus2-vwcc-vnet,n01-eus2-vwcc-cc-subnet-1,10.193.2.64/26,NOT_EVALUATED,True,n01-eus2-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-eus2-vwcc-rg/providers/Microsoft.Network/routeTables/n01-eus2-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-rigtest-rg01-ae,n01-rigtest-vnet01-ae,AzureBastionSubnet,192.168.226.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-vwcc-rg,n01-we-vwcc-vnet,n01-we-vwcc-cc-subnet-1,10.193.34.64/26,NOT_EVALUATED,True,n01-we-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-we-vwcc-rg/providers/Microsoft.Network/routeTables/n01-we-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-vwcc-rg,n01-we-vwcc-vnet,AzureBastionSubnet,10.193.34.0/26,EXPECTED_BYPASS,True,n01-we-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-zscc-rg,n01-we-zscc-vnet,AzureBastionSubnet,10.192.76.64/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-zscc-rg,n01-we-zscc-vnet,AzureFirewallSubnet,10.192.76.0/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-zscc-rg,n01-we-zscc-vnet,n01-we-zscc-cc-subnet-1,10.192.76.128/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-we-zscc-rg/providers/Microsoft.Network/routeTables/n01-we-zscc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-zscc-rg,n01-we-zscc-vnet,AzureFirewallManagementSubnet,10.192.76.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-wus-vwcc-rg,n01-wus-vwcc-vnet,n01-wus-vwcc-cc-subnet-1,10.193.18.64/26,NOT_EVALUATED,True,n01-wus-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-wus-vwcc-rg/providers/Microsoft.Network/routeTables/n01-wus-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-wus-vwcc-rg,n01-wus-vwcc-vnet,AzureBastionSubnet,10.193.18.0/26,EXPECTED_BYPASS,True,n01-wus-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-ae,n01-zsac-vnet01-ae,n01-ae-zsac-ac-subnet-1,10.192.64.224/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-ae,n01-zsac-vnet01-ae,AzureBastionSubnet,10.192.64.192/28,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cnc,n01-zsac-vnet01-cnc,n01-cnc-zsac-ac-subnet-1,10.192.64.160/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cnc,n01-zsac-vnet01-cnc,AzureBastionSubnet,10.192.64.128/28,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cus,n01-zsac-vnet01-cus,n01-cus-zsac-ac-subnet-1,10.192.64.96/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cus,n01-zsac-vnet01-cus,AzureBastionSubnet,10.192.64.64/28,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-eus2,n01-zsac-vnet01-eus2,n01-eus2-zsac-ac-subnet-1,10.192.64.32/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-eus2,n01-zsac-vnet01-eus2,AzureBastionSubnet,10.192.64.0/28,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-we,n01-zsac-vnet01-we,n01-we-zsac-ac-subnet-1,10.192.65.32/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-we,n01-zsac-vnet01-we,AzureBastionSubnet,10.192.65.0/28,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-wus,n01-zsac-vnet01-wus,n01-wus-zsac-ac-subnet-1,10.192.65.96/28,NOT_EVALUATED,False,,,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
